"data_idx","eta","rho_type","result_file","status","error_message"
1,"CSDA","None","chains/results_parallel_2/SS2_None_eta_CSDA_Nsim_1_niter80000_n200.rds","success",NA
1,"0","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0_Nsim_1_niter80000_n200.rds","success",NA
1,"0.5","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.5_Nsim_1_niter80000_n200.rds","success",NA
1,"0.5","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.5_Nsim_1_niter80000_n200.rds","success",NA
1,"0.5","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.5_Nsim_1_niter80000_n200.rds","success",NA
1,"0.75","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.75_Nsim_1_niter80000_n200.rds","success",NA
1,"0.75","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.75_Nsim_1_niter80000_n200.rds","success",NA
1,"0.75","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.75_Nsim_1_niter80000_n200.rds","success",NA
1,"0.9","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.9_Nsim_1_niter80000_n200.rds","success",NA
1,"0.9","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.9_Nsim_1_niter80000_n200.rds","success",NA
1,"0.9","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.9_Nsim_1_niter80000_n200.rds","success",NA
2,"CSDA","None","chains/results_parallel_2/SS2_None_eta_CSDA_Nsim_2_niter80000_n200.rds","success",NA
2,"0","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0_Nsim_2_niter80000_n200.rds","success",NA
2,"0.5","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.5_Nsim_2_niter80000_n200.rds","success",NA
2,"0.5","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.5_Nsim_2_niter80000_n200.rds","success",NA
2,"0.5","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.5_Nsim_2_niter80000_n200.rds","success",NA
2,"0.75","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.75_Nsim_2_niter80000_n200.rds","success",NA
2,"0.75","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.75_Nsim_2_niter80000_n200.rds","success",NA
2,"0.75","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.75_Nsim_2_niter80000_n200.rds","success",NA
2,"0.9","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.9_Nsim_2_niter80000_n200.rds","success",NA
2,"0.9","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.9_Nsim_2_niter80000_n200.rds","success",NA
2,"0.9","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.9_Nsim_2_niter80000_n200.rds","success",NA
3,"CSDA","None","chains/results_parallel_2/SS2_None_eta_CSDA_Nsim_3_niter80000_n200.rds","success",NA
3,"0","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0_Nsim_3_niter80000_n200.rds","success",NA
3,"0.5","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.5_Nsim_3_niter80000_n200.rds","success",NA
3,"0.5","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.5_Nsim_3_niter80000_n200.rds","success",NA
3,"0.5","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.5_Nsim_3_niter80000_n200.rds","success",NA
3,"0.75","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.75_Nsim_3_niter80000_n200.rds","success",NA
3,"0.75","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.75_Nsim_3_niter80000_n200.rds","success",NA
3,"0.75","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.75_Nsim_3_niter80000_n200.rds","success",NA
3,"0.9","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.9_Nsim_3_niter80000_n200.rds","success",NA
3,"0.9","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.9_Nsim_3_niter80000_n200.rds","success",NA
3,"0.9","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.9_Nsim_3_niter80000_n200.rds","success",NA
4,"CSDA","None","chains/results_parallel_2/SS2_None_eta_CSDA_Nsim_4_niter80000_n200.rds","success",NA
4,"0","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0_Nsim_4_niter80000_n200.rds","success",NA
4,"0.5","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.5_Nsim_4_niter80000_n200.rds","success",NA
4,"0.5","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.5_Nsim_4_niter80000_n200.rds","success",NA
4,"0.5","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.5_Nsim_4_niter80000_n200.rds","success",NA
4,"0.75","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.75_Nsim_4_niter80000_n200.rds","success",NA
4,"0.75","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.75_Nsim_4_niter80000_n200.rds","success",NA
4,"0.75","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.75_Nsim_4_niter80000_n200.rds","success",NA
4,"0.9","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.9_Nsim_4_niter80000_n200.rds","success",NA
4,"0.9","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.9_Nsim_4_niter80000_n200.rds","success",NA
4,"0.9","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.9_Nsim_4_niter80000_n200.rds","success",NA
5,"CSDA","None","chains/results_parallel_2/SS2_None_eta_CSDA_Nsim_5_niter80000_n200.rds","success",NA
5,"0","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0_Nsim_5_niter80000_n200.rds","success",NA
5,"0.5","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.5_Nsim_5_niter80000_n200.rds","success",NA
5,"0.5","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.5_Nsim_5_niter80000_n200.rds","success",NA
5,"0.5","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.5_Nsim_5_niter80000_n200.rds","success",NA
5,"0.75","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.75_Nsim_5_niter80000_n200.rds","success",NA
5,"0.75","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.75_Nsim_5_niter80000_n200.rds","success",NA
5,"0.75","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.75_Nsim_5_niter80000_n200.rds","success",NA
5,"0.9","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.9_Nsim_5_niter80000_n200.rds","success",NA
5,"0.9","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.9_Nsim_5_niter80000_n200.rds","success",NA
5,"0.9","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.9_Nsim_5_niter80000_n200.rds","success",NA
6,"CSDA","None","chains/results_parallel_2/SS2_None_eta_CSDA_Nsim_6_niter80000_n200.rds","success",NA
6,"0","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0_Nsim_6_niter80000_n200.rds","success",NA
6,"0.5","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.5_Nsim_6_niter80000_n200.rds","success",NA
6,"0.5","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.5_Nsim_6_niter80000_n200.rds","success",NA
6,"0.5","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.5_Nsim_6_niter80000_n200.rds","success",NA
6,"0.75","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.75_Nsim_6_niter80000_n200.rds","success",NA
6,"0.75","rho0_shift","chains/results_parallel_2/SS2_rho0_shift_eta_0.75_Nsim_6_niter80000_n200.rds","success",NA
6,"0.75","rho0_SM","chains/results_parallel_2/SS2_rho0_SM_eta_0.75_Nsim_6_niter80000_n200.rds","success",NA
6,"0.9","rho0_1","chains/results_parallel_2/SS2_rho0_1_eta_0.9_Nsim_6_niter80000_n200.rds","success",NA
